id,fecha,iniciador,objetivo,provincia,fuente
466,2015-07-09,Kurdistan Sirio,ISIS,Aleppo,Twitter
467,2016-02-15,Kurdistan Sirio,Oposicion,Aleppo,SOHR
468,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
469,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
470,2015-07-09,Kurdistan Sirio,ISIS,Raqqa,Media
471,2016-02-16,Kurdistan Sirio,Oposicion,Aleppo,SOHR
472,2016-10-18,Oposicion,ISIS,Aleppo,SOHR
473,2015-12-23,Kurdistan Sirio,ISIS,Aleppo,Media
474,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
475,2015-06-18,Kurdistan Sirio,ISIS,Aleppo,Twitter
476,2016-10-18,CJTF-OIR,ISIS,Aleppo,SOHR
477,2016-08-22,Kurdistan Sirio,Gobierno Sirio,Hasakeh,SOHR
478,2016-01-02,Kurdistan Sirio,Oposicion,Aleppo,SOHR
479,2015-07-06,Kurdistan Sirio,ISIS,Raqqa,Media
480,2016-06-11,Kurdistan Sirio,ISIS,Aleppo,Media
481,2015-06-18,Kurdistan Sirio,ISIS,Aleppo,Twitter
482,2015-07-03,Kurdistan Sirio,ISIS,Hasakeh,Media
483,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
484,2015-06-18,Kurdistan Sirio,ISIS,Aleppo,Twitter
485,2015-11-10,Kurdistan Sirio,ISIS,Hasakeh,Media
486,2016-02-06,Kurdistan Sirio,Oposicion,Aleppo,Twitter
487,2016-10-07,Oposicion,ISIS,Aleppo,SOHR
488,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
489,2015-06-23,Kurdistan Sirio,ISIS,Raqqa,Twitter
490,2015-12-31,Kurdistan Sirio,Oposicion,Aleppo,SOHR
491,2015-06-20,Kurdistan Sirio,ISIS,Raqqa,Twitter
492,2016-10-24,Oposicion,ISIS,Aleppo,SOHR
493,2015-12-13,Kurdistan Sirio,ISIS,Aleppo,Media
494,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
495,2015-06-17,Kurdistan Sirio,ISIS,Aleppo,Twitter
496,2016-10-30,ISIS,Oposicion,Aleppo,SOHR
497,2016-02-08,Kurdistan Sirio,Oposicion,Aleppo,SOHR
498,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
499,2015-07-06,Kurdistan Sirio,ISIS,Raqqa,Media
500,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
501,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
502,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
503,2015-12-31,Kurdistan Sirio,Oposicion,Aleppo,SOHR
504,2015-05-25,Kurdistan Sirio,ISIS,Raqqa,Twitter
505,2015-07-06,Kurdistan Sirio,ISIS,Raqqa,Media
506,2015-07-09,Kurdistan Sirio,ISIS,Raqqa,Media
507,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,SOHR
508,2016-11-07,Oposicion,ISIS,Aleppo,SOHR
509,2016-05-28,Oposicion,ISIS,Aleppo,Twitter
510,2015-06-23,Kurdistan Sirio,ISIS,Raqqa,Twitter
511,2016-10-15,Oposicion,ISIS,Aleppo,SOHR
512,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
513,2016-02-13,Kurdistan Sirio,Oposicion,Aleppo,SOHR
514,2015-05-06,Kurdistan Sirio,ISIS,Aleppo,Media
515,2016-02-11,Kurdistan Sirio,Oposicion,Aleppo,SOHR
516,2016-06-16,Kurdistan Sirio,ISIS,Aleppo,Twitter
517,2016-07-30,Kurdistan Sirio,ISIS,Aleppo,SOHR
518,2015-12-28,Kurdistan Sirio,Oposicion,Aleppo,Twitter
519,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
520,2016-10-16,Oposicion,ISIS,Aleppo,SOHR
521,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
522,2015-05-06,Kurdistan Sirio,ISIS,Aleppo,Media
523,2016-11-07,Oposicion,ISIS,Aleppo,SOHR
524,2016-02-29,Kurdistan Sirio,ISIS,Hama,SOHR
525,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Media
526,2015-06-16,Kurdistan Sirio,ISIS,Aleppo,Twitter
527,2016-05-29,Oposicion,ISIS,Aleppo,Twitter
528,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
529,2015-06-15,Kurdistan Sirio,ISIS,Aleppo,Twitter
530,2016-10-16,Oposicion,ISIS,Aleppo,SOHR
531,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
532,2015-05-09,Kurdistan Sirio,ISIS,Hasakeh,Media
